name,place_id,address,latitude,longitude,rating,user_ratings_total,price_level,types,business_status,phone_number,website,opening_hours
The Pizza Guys,ChIJm8cSNjiF2EcR2Pw7n9spxC0,"The Pizza Guys, Millers Three, Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8646153,0.1638413,4.5,391,1,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 656888,https://www.thepizzaguysonline.com/,
South Street Pantry,ChIJZ8g8AjyF2EcREGc5ymz87q8,"Town Centre, 70 South St, Bishop's Stortford CM23 3AZ, UK",51.8682711,0.1606026,4.5,478,2,"cafe, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 659510,http://www.southstreetpantry.co.uk/,
Tandoori Cottage,ChIJg4A1JxaF2EcRxO_mhPZvn6M,"Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.86422680000001,0.1639413,4,108,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 653513,https://tandooricottage-stortford.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,
H@ME & EAT,ChIJj6b38HGF2EcRfjK-hjv021U,"Unit 3 4b Birchanger Industrial Estate, Stansted Road, Bishop's Stortford CM23 2TH, UK",51.884716,0.174491,4.3,881,2,"restaurant, cafe, bar, store, food, point_of_interest, establishment",OPERATIONAL,01279 814644,http://www.homeandeat.com/,
The Kebabery,ChIJg4PRTDmF2EcRSSSeEqjCDuE,"5 Station Rd, Bishop's Stortford CM23 3BJ, UK",51.86800179999999,0.1612581,4.2,340,,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 654428,https://www.kebaberyonline.co.uk/,
Zara Indian Dining,ChIJlUaWbz2F2EcRA8D3YwzbWSU,"24 Hadham Rd, Bishop's Stortford CM23 2QS, UK",51.8725974,0.1567603,4.3,323,2,"bar, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 507777,http://www.zara-dining.co.uk/,
Starbucks Coffee,ChIJvyhR0T2F2EcRxNtKsHg4JJA,"Jacksons Square, Bishop's Stortford CM23 3AB, UK",51.87025999999999,0.161175,4,300,2,"cafe, store, meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 210156,https://www.starbucks.co.uk/store-locator/27642,
Shell,ChIJlyRUtXGF2EcR8cVUdL5aq2U,"1 Stansted Rd, Bishop's Stortford CM23 2DR, UK",51.880622,0.171269,3.3,44,2,"gas_station, car_wash, convenience_store, cafe, store, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 503904,https://find.shell.com/gb/fuel/10019012-shell-oaklands-park/en_GB,
Nags Head,ChIJZ5D66kCF2EcRlmBebiUxHx0,"216 Dunmow Rd, Bishop's Stortford CM23 5HP, UK",51.8683811,0.1777474,4.3,1358,2,"bar, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 654553,https://www.mcmullens.co.uk/local-pub/nags-head-bishops-stortford/,
Subway,ChIJP3D_XjyF2EcRLUqXbVrBU3E,"2A Apton Rd, Bishop's Stortford CM23 3SN, UK",51.8699185,0.1593989,3.4,206,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 503709,https://restaurants.subway.com/united-kingdom/en/bishop-stortford/2a-apton-road?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=37718&utm_campaign=evergreen-2020&y_source=1_MTQ5MjM5NzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,
Tamarind Tree,ChIJsa-QxDeF2EcRKbW3QeexBEo,"Southmill Rd, Bishop's Stortford CM23 3DH, UK",51.8625632,0.1653722,4.5,2,,"restaurant, food, point_of_interest, establishment",OPERATIONAL,01279 653513,,
Coffee House,ChIJVarerzmF2EcRj0So3m7xrEA,"35 South St, Bishop's Stortford CM23 3AG, UK",51.868535,0.1607743,4.4,300,2,"cafe, restaurant, food, store, point_of_interest, establishment",OPERATIONAL,,https://www.facebook.com/coffeehousebs/,
Jade House Chinese Takeaway,ChIJ8zg1ammF2EcRqD19swVi1DQ,"7 Snowley Parade, Bishop's Stortford CM23 5EP, UK",51.87707169999999,0.173909,3.9,74,2,"meal_takeaway, restaurant, food, point_of_interest, establishment",OPERATIONAL,07356 096699,,
